comment_id,author,text,likes,replies,published_at,is_reply
UgzqJP2kAyai9t7pIl14AaABAg,@mohamadrodli-i7r,"Masukan klau ada yg nlp cuma no jgn d angkat ... skrg kn ada WA atau sms ... 

Biar hub dlu lewat 2 pilihn tsb...

Cari aman.... y kn",0,0,2025-06-19T06:32:34Z,False
UgxG_Z-SexmceYgj8GV4AaABAg,@yuliatiaja5607,Kamu segitu mas ak 12juta 4hari yg lalu bener² BKIN ak stress untk suami qw yg BKIN aku tenang😢😢,0,0,2025-06-17T07:46:25Z,False
Ugxu2LYoB-EIQXVQid14AaABAg,@jeffrichardx,Wkwkwk apa cuma gw yg ngobrol ditelp tapi ga kenal orangnya tapi ya udah ga ad bahas ke arah duit😂,0,0,2025-06-11T05:33:02Z,False
Ugx1NQo5NX9jDyZMVeR4AaABAg,@vanayotoyoto83,makasih kk infonya barusan aku jga di tlp dari kantor pos katanya paketnya gak bisa terkirim karna alamat,0,0,2025-06-11T03:18:25Z,False
Ugx9NOGh5w5DhgaYuOt4AaABAg,@FaizErda-w8z,Kalau ada no yg ga di kenal ga usah di angkat beres ga usah bertele2,0,0,2025-06-07T01:23:36Z,False
Ugw5ys7uWlyc7sqBpNd4AaABAg,@niketutsokhagautami7160,Saya pernah mengalami hal yg sama.intinya jgn gampang percaya dgn org yg blm kita kenal,1,0,2025-06-06T15:12:57Z,False
UgxC47_aV-G8hS9IF9t4AaABAg,@vickrose48,mahasiswa kok .....,0,0,2025-06-04T00:41:02Z,False
Ugy8bJdF9qDmAMB1y5t4AaABAg,@igapadmawati5034,Mas nya takabur makanya kena tipu😂,0,0,2025-05-31T03:40:44Z,False
UgxhXuFTz1R4wCnPtwN4AaABAg,@whoiam02-q5c,"Sekelas mahasiswa masih kena tipu, gimana lagi orang yg lebih rendah pendidikannya.
Katanya ada tim cyber, apa bisa ditangkap gak nih ?",0,0,2025-05-30T06:06:29Z,False
UgxY5mgXIyClJ8-Ulgp4AaABAg,@CahyoSanankulon,Kuliah    kok......        B. D. H,0,0,2025-05-29T19:49:43Z,False
Ugz_UUTAhkuI-WAp4Ul4AaABAg,@herisupriyanto3476,"Ikutan koment ah, intinya di video ini adalah kena hipnotis telepon , vc . 
Saya yakin ketika proses hipnotis itu korban tidak melakukan aktivitas merokok.
Merokok adalah salah satu cara menangkal hipnotis , 
Boleh percaya, boleh tidak ...
😊",0,0,2025-05-29T16:00:45Z,False
Ugxwyk0Csf1yASwbvdN4AaABAg,@ahmad_lana123,Tolol,0,0,2025-05-28T01:19:38Z,False
UgwWV-W8-mcO-xydXVB4AaABAg,@didiksuparyanto6271,andai saya lihat konten abang sebelumnya. saya tidak hilang 12.750.000 Modusnya beli barang. Makin Banyak Cara Penipu Sekarang mereka cari biodata pekerjaan korbannya dahulu. hati2 gess,1,1,2025-05-25T05:50:42Z,False
UgwWV-W8-mcO-xydXVB4AaABAg.AIXgtnpjKeqAJDQ84PdDyE,@jeffrichardx,Semangat goblok nya mas mohon dipelihara baik2,0,0,2025-06-11T05:22:05Z,True
UgzY6lt8sDP1ucedbYp4AaABAg,@aminkusarmin1680,Kirain anak muda yg punya pendidikan itu gk sebodoh yg kita bayangkan. Rupa nya org bodoh (goublok) gk bisa nilai dari pendidikannya 😂😂,0,0,2025-05-23T23:30:31Z,False
Ugx00jDG7Z5QyWLvoHR4AaABAg,@sandialdrian2784,Tapi masih sadar buat ngrrekam😮,0,0,2025-05-23T13:10:15Z,False
Ugxm-LNWoh9OyLuwcW54AaABAg,@AinurRobet,Intinya ribet mas udah ikhlas saja,0,0,2025-05-23T09:32:10Z,False
Ugyw8-K9-qqHqEu8xVB4AaABAg,@ramahandiko2741,"semenjak saya kehilanagn 20 jt dari bank bri, dan qris saya tidak pakai lagi bri",0,0,2025-05-22T09:04:52Z,False
Ugxmx9NTBqxPHNt79iR4AaABAg,@bambangsiswandi2372,Kok nipu  pake sragam polisi  masihbrani polisi anjing ini,0,0,2025-05-19T03:44:31Z,False
UgzMRcKu4RhyG2O_Be94AaABAg,@gadisdesa78-n7r,"YA MEMANG HARUS KE BCA MAS,, KALO KE BRI YAA SALAH DONG😅😅😅",0,0,2025-05-16T16:11:38Z,False
Ugylks6QT7FKvQS-bB14AaABAg,@gadisdesa78-n7r,"PARAH,,, MODEL BGINI KOK BISA  TERTIPU,,AMPUNNN",0,0,2025-05-16T16:07:07Z,False
Ugw81Xgt-txS6tJJR_d4AaABAg,@EdwardAR-x4i,WAHAI PENIPU ULUNG KASIHANILAH ANAK BESERTA ISTRIMU YANG TERCINTA DI BERI MAKAN DENGAN UANG HAAAAAARAAAAM TOUBAT YA SAYANG 😂😂😂😂😂😂😂😂😂,0,0,2025-05-16T07:37:51Z,False
UgwQ0O0cSL25z9pM4A14AaABAg,@NotoGanteng,BOONG,0,0,2025-05-13T09:53:56Z,False
Ugy7VnxUjbVAG5RkgSd4AaABAg,@wahyudydju9403,"Siapa pun yg nada bicaranya gadungan pasti ada kata² mengancam dgn menuduh pengguna layanan melakukan kejahatan.. kalau punya rekening bank sebaiknya beritahukan saldo sisa 50 ribu atau 25 ribu.. kemudian amankan dana sehingga pihak bank mengetahui dan membekukan transaksi rekening. Sy juga mengalami modus yg Mas alami, cuma sisa saldo sy sedikit .. jd dia tidak berniat mengurasnya.. intinya penjahat itu berkedok polisi.. menyebut NRP nya dgn lengkap, dibantu kawannya dari telkom yg menyalurkan koneksi ke polisi. Kejanggalannya, pertama kali memperkenalkan diri dari Kominfo .. ujung²nya menyerahkan telpon ke manajernya. Eh.. manajernya bilang dari telkomsel (manajer telkom). Jadi sama modusnya, sy disuruh membuat laporan polisi. Janjinya laporan polisi akan dikirimkan ke alamat rumah, ternyata tidak ada. Secara hukum yg berlaku di Indonesia utk laporan polisi itu seharusnya ada tanda tangan basah pelapor. Krn negara kita belum memberlakukan tanda tangan elektronik, semoga ada pihak kepolisian yg memberi pemahaman hukum tentang kejahatan digital. 
Para penipu itu bodoh krn jengkel nggak dapat duit kemudian mengancam. Semua laporan akan diselidiki lah, ancaman penjara pembuat laporan palsu lah,  wuih ngeri. Catatan saja, kalau ada polisi yg seperti ini bicaranya, lebih baik diabaikan. Bilang kita lg dijalan atau nadanya putus² atau lagi di pasar di mall, tempat yg banyak orang sehingga ada kesempatan kita utk tenang dan dia pasti menyuruh kita mencari tempat yg tenang, tidak boleh ada yg mengganggu. Jadi perlu waspada dgn model penipuan seperti ini. Terima kasih sudah share.. kalau ada yg tidak percaya biarin aja yg jelas mas sdh memberi peringatan dan berbagi informasi agar waspada terhadap modus baru di era digital.",0,0,2025-05-12T11:37:59Z,False
Ugwcw9VKGFpSsRM43kN4AaABAg,@muhammadmasiun-wf8be,"Klo ada telpon penipu gampang melawanya,pakai bahasa   daerah masing pasti para penipu langsung kasih mati tlponya",0,0,2025-05-11T03:12:52Z,False
UgzI8Sy91fzFN6e9SbZ4AaABAg,@jajamjamilah664,Jgn terima no tlp yg tdk ada pd cantak kita thats all😢,0,0,2025-05-10T01:19:21Z,False
UgxF0P2DKxwzsPcXf-h4AaABAg,@YennyGavella,",,   MEREKA  SATU...... KOMPLOTAN",0,0,2025-05-09T16:49:30Z,False
Ugz39GWjWBjvyxTLONJ4AaABAg,@YennyGavella,"Wahh Ini kan,,, SUARA -SUARA,  PENIPU,,,,,, ,",0,0,2025-05-09T16:47:02Z,False
UgzG52BkU3HN8kIKbpF4AaABAg,@Pu3t451k,Ampir sama kek aku nih kak🤦‍♀️,0,0,2025-05-09T02:18:25Z,False
Ugw0lMC9Z6n7CrdUGGt4AaABAg,@retnowsetyaningsih6298,"dua hari yang lalu ada telepon ngaku dari kantor pos dan ada barang yang belum diambil, persis cerita si masnya. Pas dia minta tekan angka 8 langsung tak putus. Pas tak lihat di get contact gada keterangannya blas.",0,0,2025-05-06T10:50:24Z,False
Ugy0POy_llxdTGp79dF4AaABAg,@nanangmatrix8516,Ga akan diurus polisi. Anak yg lugu,0,0,2025-05-03T16:32:00Z,False
Ugz2BeEvkDd6pmDFwId4AaABAg,@sunartoang5278,Kenapa wajahnya di tutup biar semua orang tahu masalah ini,1,0,2025-05-01T15:55:15Z,False
Ugyw8GD8v_P6M3Ma__J4AaABAg,@sunartoang5278,Thanks infonya,1,0,2025-05-01T15:54:09Z,False
UgyVzKbDJshadyAPo8h4AaABAg,@ganesasanjaya-g5d,"hmm saya paham semua pelaku di lakukan di dalam penjara... saya sudah pernah hampir kena tipu saya bilang gini ""pak coba bapak keluar kantor dan lihat di depan kantor"" dia gak mau / dan saya fix bilang penipu",0,0,2025-04-25T02:14:16Z,False
UgxROYRCIPldeEccblR4AaABAg,@BiyantaraArdya,Rekening koran bang,1,0,2025-04-24T20:59:01Z,False
Ugyi515Q1yVEulTGaUJ4AaABAg,@RiniBdg123,"Intinya mas ini ,lapor polisi ,dan polisinya abal2 alias bandit yg ngaku2 polisi ,  kok bisa ya",0,0,2025-04-23T07:05:19Z,False
UgwyR2bte5igXkou1VB4AaABAg,@yudhayudha-z1s,betapa bobrok nya konoha,0,0,2025-04-21T12:52:37Z,False
